#{"t_start": 1776887679.3879743, "env_id": "None"}
r,l,t
59.454372,16,769.079994
3.321327,12,769.746281
-4.897251,11,770.352739
325.975742,36,772.182093
-764.835559,152,779.589643
-185.014142,64,782.924847
38.619462,16,783.789187
400.313218,148,790.808651
-284.555634,28,792.227796
-6.057261,92,804.20517
5.614891,11,804.838903
18.055035,15,805.64458
11.296041,15,806.454532
-306.519335,30,808.037787
13.061819,79,811.978006
23.644289,18,812.913288
29.439641,14,813.673138
31.269727,13,814.404959
133.015412,161,822.273232
32.484873,16,823.150322
10.529874,13,823.864218
-574.148847,193,833.23447
42.230932,67,836.549162
106.223867,64,839.825395
102.22591,78,843.662793
27.109296,17,844.602032
219.64216,31,846.211511
-161.960058,20,847.243983
59.233637,86,851.528848
-567.267027,203,861.352498
85.777764,21,862.45063
-1081.746199,126,868.63891
29.942123,17,869.533426
148.361584,71,873.066323
-714.969893,189,882.271734
42.831206,46,884.530414
-145.826817,28,885.969208
150.948249,85,890.099989
29.716475,13,890.797068
-18.460919,11,891.394674
42.420841,14,892.169184
40.07117,16,893.094568
12.437839,15,893.920715
27.966074,13,894.641676
-489.596469,70,898.024757
195.220869,58,900.921468
10.935533,13,901.621415
-317.258346,80,905.6664
45.992578,20,906.757993
43.300313,18,907.747569
-786.954617,55,910.495152
9.008929,13,911.19289
67.810921,17,912.094369
16.973259,14,912.901419
34.239391,16,913.761862
-334.862479,112,919.191039
2.525084,12,919.848854
-90.801108,141,926.7378
181.601713,292,940.840729
50.70467,21,941.953253
16.872623,14,942.689099
-479.245693,121,948.60244
35.241156,15,949.370775
18.738035,13,950.080004
-1021.778686,139,956.929283
42.737915,16,957.758705
76.898344,34,959.464669
-382.817696,63,962.501359
41.436032,16,963.39046
70.899549,37,965.281891
124.622688,35,967.029671
-810.906899,124,972.96133
-212.886893,23,974.144891
21.105646,13,974.848641
-885.143767,39,976.814645
75.099716,17,977.704133
59.600457,20,978.726604
-12.654917,11,979.330557
56.871853,17,980.218155
6.506032,12,980.878741
60.933326,16,981.724092
47.927547,17,982.611362
0.342133,11,983.208885
34.356349,68,986.524111
34.233286,13,987.25263
18.34418,23,988.446095
-492.983073,100,993.478836
-2670.575293,352,1010.348452
-159.554937,17,1011.240351
-14.565356,13,1011.935917
11.226789,12,1012.575856
-85.054039,57,1015.368088
49.481248,17,1016.262449
33.464461,15,1017.084618
-11.321601,13,1017.778766
52.779431,16,1018.621431
90.364537,25,1019.991941
48.632863,16,1020.84691
82.949606,19,1021.836695
28.041737,17,1022.711142
73.318196,24,1024.036635
12.676668,13,1024.735136
-67.298532,37,1026.653684
-556.992466,45,1028.861105
29.781572,35,1030.604383
-465.769945,112,1036.186941
138.27303,61,1039.288168
23.978511,13,1039.9744
37.671788,16,1040.933193
96.303734,21,1042.033397
23.370304,13,1042.769563
-743.906316,137,1049.486597
-9.734611,12,1050.13434
22.902041,18,1055.1862
38.561839,19,1056.136151
52.12246,21,1057.259903
21.686368,13,1057.953613
-2019.281972,282,1071.539044
134.526396,27,1072.896541
43.589257,17,1073.767937
63.520411,17,1074.645751
-1.270794,11,1075.259088
4.902852,14,1076.003828
156.966201,126,1082.122753
-179.331207,89,1086.43755
16.354455,14,1087.174396
-296.148272,62,1090.342128
68.587582,27,1091.775899
18.99464,12,1092.450295
16.135479,12,1093.123038
44.897264,16,1093.987952
-410.625295,33,1095.684767
37.790849,15,1096.485329
36.060933,19,1097.474624
61.798084,21,1098.577661
2.335385,14,1099.328577
160.791341,26,1100.676999
-577.073973,74,1104.384429
-194.256999,32,1105.950022
37.717357,14,1106.697516
124.772007,26,1107.983278
-1321.046276,72,1111.448841
406.675286,119,1117.19499
30.09751,15,1118.007359
401.569618,143,1125.015428
-70.892291,112,1130.485356
-5.217582,16,1131.358281
-561.731879,58,1134.260236
-793.650799,184,1143.188958
-423.645839,169,1151.236633
42.317488,18,1152.161697
9.101858,11,1152.772898
-761.981437,55,1155.585959
-4893.998628,413,1175.667931
-815.3811,324,1191.325908
60.052404,18,1192.269798
21.330743,12,1192.992093
104.750061,21,1194.131328
13.112742,18,1195.089573
22.041338,16,1195.982419
17.506132,14,1196.737295
-10.416845,12,1197.394113
-5711.619469,298,1211.84787
15.632192,16,1212.67296
150.6724,143,1219.675063
24.943163,15,1220.492234
-876.763486,198,1230.232605
-62.499265,66,1233.449692
25.158365,21,1234.537494
7.759859,12,1235.19783
-560.683712,96,1239.894953
27.759763,22,1241.014127
137.33357,134,1247.5418
15.398095,12,1248.193749
2.814944,16,1249.056562
138.358274,28,1250.507192
-1573.864509,141,1257.211471
46.797677,16,1258.036706
23.507053,13,1258.737505
-12.797694,15,1259.604513
103.28292,23,1261.008727
-572.361688,83,1265.140633
-755.783165,192,1274.439924
114.45808,22,1275.574847
29.626235,15,1276.404115
45.834533,16,1277.252263
-14.601821,14,1278.021997
-25.902709,53,1280.622932
99.612741,51,1283.145745
243.2662,36,1284.917223
39.357024,15,1285.720767
-292.55779,172,1293.97079
20.260331,54,1296.704096
-4.01461,12,1297.357569
14.280531,13,1298.051608
19.479307,15,1298.855074
296.214867,146,1307.290086
-302.60105,49,1309.737814
-16.993429,16,1310.579385
-1391.84444,267,1323.431899
