#{"t_start": 1776865388.9570847, "env_id": "None"}
r,l,t
21.074545,12,503.079965
37.327098,13,503.676171
37.536643,13,504.278568
24.728454,13,504.904918
29.044687,14,505.585059
20.333279,13,506.193036
63.900201,21,507.172209
24.597347,13,507.771621
20.312372,13,508.376148
23.185624,13,508.946292
28.821414,14,509.578928
37.738063,14,510.188644
15.887131,12,510.712651
21.290045,13,511.274565
25.496514,13,511.83428
22.347446,13,512.416886
25.299962,13,513.021121
35.006187,41,514.908145
36.580023,14,515.522371
21.416596,13,516.129391
27.749164,14,516.757131
36.782287,13,517.330979
6.259816,10,517.754719
5.030501,10,518.201247
15.08088,11,518.685734
31.370297,14,519.303003
20.41895,13,519.847862
16.475674,12,520.40531
23.95754,14,521.06453
25.161262,14,521.710084
25.903431,13,522.309468
22.299637,13,522.889297
40.728748,15,523.571426
26.864824,16,524.276844
16.193239,12,524.802965
37.549189,15,525.488086
-99.979754,67,528.493879
22.957628,13,529.106143
26.590425,15,529.778546
58.00148,17,530.533714
55.537944,16,531.276621
16.866724,12,531.811543
34.441345,13,532.38897
37.184266,13,532.991894
16.498064,11,533.532794
6.995017,11,534.057458
17.234509,12,534.58719
20.936272,12,535.142332
35.781935,14,535.789749
17.70516,13,536.373922
14.354579,12,536.940284
24.082915,12,537.465702
28.528504,15,538.163999
15.945225,11,538.673372
21.597924,12,539.214488
20.102241,12,539.76141
37.674713,13,540.360956
14.530766,11,540.846017
22.095814,12,541.407169
14.642895,11,541.908515
30.233167,14,542.538137
24.83555,13,543.104827
25.03936,12,543.627985
16.605417,12,544.156612
16.551862,12,544.697615
38.002179,14,545.316949
26.185263,15,546.018839
29.84624,14,546.687384
19.640762,12,547.253547
16.579734,12,547.799335
18.221771,12,548.353048
25.130339,12,548.908655
16.587308,11,549.434583
38.922782,14,550.072745
34.094355,13,550.651018
28.002852,13,551.270306
25.977604,12,551.808901
41.099868,17,552.536413
72.579456,16,553.238624
36.437568,14,553.923998
52.501634,15,554.563935
19.221248,12,555.077731
16.494919,11,555.558271
5.598289,11,556.041456
26.234229,13,556.687222
28.024723,13,557.293356
15.798862,12,557.85
18.862228,12,558.409506
14.943812,11,558.927284
15.563202,11,559.405983
26.035684,13,559.988136
35.429356,13,560.568001
22.367462,13,561.146295
20.971406,12,561.702833
19.244737,12,562.253898
38.159289,13,562.861458
40.231207,14,563.487304
40.814546,14,564.130669
22.006135,13,564.720919
-139.075847,53,567.11695
44.058832,15,567.776422
21.1872,12,568.310242
15.252909,11,568.795926
27.054225,14,569.402356
24.310077,13,569.992652
26.158764,13,570.564316
22.615912,12,571.09193
21.305327,12,571.617023
21.368447,13,572.179438
34.133345,14,572.787367
21.788293,13,573.380116
31.138784,13,573.965077
22.592038,12,574.505733
17.905102,12,575.0228
36.842552,13,575.582446
23.445515,13,576.206149
31.58944,14,576.82719
22.828291,14,577.462151
19.92829,13,578.036219
11.489391,11,578.521337
35.797934,13,579.10552
21.281618,13,579.728884
34.822742,14,580.353115
18.465669,12,580.866016
110.490351,48,582.988748
14.219668,11,583.478158
19.361462,12,584.026333
36.145024,14,584.638656
29.451808,14,585.316004
30.161349,14,585.931858
16.829868,12,586.46481
36.142573,15,587.13342
35.504057,13,587.727067
40.276468,14,588.393499
20.641256,13,588.984736
21.255072,12,589.511914
34.22333,13,590.077035
102.09783,42,591.998883
37.522126,16,592.699536
18.339625,12,593.262181
53.300293,14,594.038554
28.368459,14,594.656827
20.461799,13,595.230026
22.29801,12,595.748704
31.449235,13,596.353603
27.212211,13,596.949265
22.77282,13,597.517134
31.275714,30,598.880927
18.560733,12,599.419338
30.040124,13,599.98525
14.190122,11,600.469623
25.057711,13,601.024373
22.055469,13,601.600765
23.60232,13,602.208389
61.942215,18,602.991969
29.256406,15,603.630938
35.146935,14,604.236922
33.66397,16,604.921645
34.704858,13,605.509873
16.709395,13,606.118708
18.193003,12,606.679202
43.387016,39,608.46926
5.509775,46,610.58781
35.809478,13,611.190153
38.420135,15,611.87279
15.861154,12,612.444877
26.95776,13,613.043446
48.160299,18,613.894381
39.337173,14,614.548034
27.51957,14,615.220282
26.085643,14,615.847174
16.00328,12,616.384982
19.644257,12,616.919893
31.574818,15,617.621015
19.201056,13,618.203691
29.076563,14,618.925511
17.793779,12,619.472623
15.390217,11,619.93939
39.243665,14,620.564408
14.342328,11,621.039461
25.331445,12,621.590942
25.330759,13,622.152569
19.53216,12,622.752785
56.672326,15,623.412533
56.589422,19,624.265658
14.831364,12,624.803453
39.726169,15,625.466841
-27.472512,97,629.681231
-46.574818,41,631.518919
11.975535,11,632.003329
19.609895,12,632.530556
47.376927,15,633.221442
37.504474,15,633.886567
15.558966,11,634.38228
12.021408,11,634.869708
19.468846,14,635.480201
20.587769,13,636.056385
12.774668,36,637.594143
24.589007,13,638.146371
28.324902,15,638.80857
4.671303,11,639.314385
22.949562,42,641.162348
42.640959,26,642.299912
17.961756,12,642.810156
36.467497,14,643.464904
15.660453,12,643.988528
33.415751,16,644.701862
36.112419,13,645.298827
7.189136,11,645.788054
-1.710644,38,647.476537
74.708749,28,648.773716
32.394752,15,649.446221
19.925162,13,649.999974
18.365177,12,650.52034
34.772672,13,651.07612
25.119217,13,651.638497
25.767744,14,652.255751
27.050684,15,652.894998
14.326448,11,653.365887
14.944437,12,653.894454
24.095154,14,654.52061
39.201764,15,655.177125
14.737606,11,655.646735
31.574517,15,656.319556
27.521522,14,656.963735
38.23312,16,657.679033
24.700056,13,658.25691
20.85429,13,658.840318
18.663912,13,659.419863
4.609087,11,659.894044
28.407214,13,660.48194
33.992523,15,661.159863
19.565604,12,661.673564
4.306273,11,662.138237
39.478568,14,662.769241
18.999164,13,663.341624
17.913843,12,663.856358
-55.265605,65,666.903194
27.135097,15,667.594597
-37.131079,43,669.495426
29.121448,16,670.206094
16.183909,12,670.729885
-41.907388,50,673.022295
24.419229,14,673.675852
24.162277,13,674.236962
19.068536,12,674.749513
12.384963,11,675.255062
15.106319,11,676.012838
5.047964,11,676.550365
17.766373,12,677.0714
26.782221,13,677.682105
21.227003,13,678.258914
70.638032,30,679.588737
13.372715,11,680.059022
14.28542,11,680.540897
5.217231,54,682.944854
-311.298422,69,685.946028
-657.926606,119,691.168232
48.783198,35,692.678592
21.140735,13,693.222754
38.514249,16,693.941985
31.779341,15,694.597051
29.939367,15,695.227661
39.264849,15,695.889568
-14.397598,39,697.673701
13.11802,13,698.225304
43.757984,17,699.023192
12.618159,11,699.521925
14.651812,11,699.992676
17.823208,12,700.520405
35.607332,16,701.233391
29.271708,14,701.848503
22.970512,14,702.493246
32.384307,12,703.02729
20.38561,12,703.556628
15.657432,11,704.033635
13.108821,12,704.57143
14.287366,11,705.043433
3.817696,11,705.54325
15.278686,11,706.016712
21.205896,13,706.603782
15.177659,11,707.082762
12.993165,11,707.556893
-1.041006,10,707.977243
13.013819,11,708.497556
16.109733,11,708.998232
9.682471,11,709.491783
16.484182,11,709.963361
16.512301,12,710.516318
16.233795,13,711.101863
12.823587,11,711.605836
20.242212,12,712.134451
29.273476,13,712.696149
16.400928,12,713.221191
17.967178,11,713.729895
13.123548,11,714.226186
23.111233,14,714.845976
32.938815,15,715.479699
30.658136,16,716.202955
-9.178048,38,717.850316
68.670777,20,718.77443
-63.653505,41,720.61772
-667.166118,80,724.193121
-176.224316,58,726.755322
17.961178,13,727.321918
15.000309,11,727.805693
-52.232732,61,730.472307
-143.494381,80,734.062494
-227.950859,80,737.591282
36.450967,14,738.228415
16.535339,12,738.797448
17.939065,12,739.327461
18.790079,12,739.891593
25.076622,13,740.45883
-159.543468,77,743.918792
-250.450158,89,747.787356
-261.708002,70,750.933674
-250.692235,61,753.59304
-24.706655,53,756.001996
-151.807178,68,758.989213
-552.609241,116,764.18774
-639.732121,96,768.348948
-307.535555,119,773.545843
-359.257356,197,782.203953
25.270083,14,782.832647
-246.850507,62,785.585826
-132.508622,41,787.43686
97.601453,34,788.923071
34.705865,63,791.730536
-55.57223,85,795.486737
12.751073,14,796.081902
-840.230627,191,804.611108
-380.15472,90,808.678725
-381.611265,79,812.2111
-237.459097,69,815.277455
-221.648034,127,820.868351
12.315679,13,821.450266
46.892475,16,822.161633
27.161294,15,822.880534
61.684595,17,823.673524
-50.252093,47,825.743687
-74.748483,66,828.710585
-13.827913,41,830.595059
-909.782697,101,834.961576
-181.906769,71,838.05371
51.423332,19,838.906932
-675.756711,166,846.159629
109.099836,22,847.140417
63.41245,20,848.020701
36.820841,14,848.656834
-15.083608,65,851.571743
-373.08261,128,857.627864
66.125627,18,858.45755
154.574572,23,859.560036
50.00091,16,860.282735
75.036912,19,861.126121
52.163559,17,861.905408
82.35925,18,862.706809
75.605652,22,863.651959
83.068013,23,864.666916
81.045167,22,865.687836
-1133.560604,129,871.372857
65.143175,18,872.153471
100.793773,20,873.003881
64.025448,17,873.747742
106.155969,20,874.622448
65.408319,17,875.376866
47.032825,15,876.054178
57.377083,17,876.801469
75.902903,19,877.640428
63.395736,17,878.447388
63.229302,20,879.340008
86.985684,20,880.196826
110.719544,22,881.195728
60.214963,16,881.891725
54.227186,17,882.633061
78.07501,18,883.421697
70.332587,17,884.17293
59.630964,16,884.906708
80.74919,18,885.720542
110.643204,22,886.686677
79.625243,21,887.611564
61.627295,17,888.364571
54.236532,18,889.206998
59.656772,21,890.123855
-319.193106,94,894.27591
53.688174,16,894.968457
42.104527,16,895.662599
78.848202,18,896.457504
61.717502,17,897.246636
68.345078,20,898.591978
47.695968,15,899.299984
71.389981,17,900.037457
167.294613,24,901.116704
56.590603,15,901.753757
36.588489,13,902.322268
39.750593,14,902.92796
44.376917,17,903.709107
59.223078,17,904.486982
33.748752,16,905.20194
-43.275915,60,907.90428
34.455552,15,908.589144
27.455253,13,909.146513
52.176872,14,909.789523
35.481194,13,910.382068
26.106885,12,910.940228
22.265334,13,911.511187
15.342743,14,912.172385
28.944927,15,912.863667
34.020528,16,913.574535
44.545637,15,914.249252
23.487997,13,914.842571
25.46631,13,915.426892
39.235172,15,916.079441
54.510218,18,916.909846
95.911176,20,917.845041
22.68386,14,918.499525
29.87146,18,919.349253
28.514281,16,920.061111
46.907903,19,920.896515
49.539355,17,921.692625
43.370544,20,922.59044
27.490749,42,924.476835
50.107552,37,926.108431
51.063561,18,926.885102
41.18285,16,927.572778
30.756273,16,928.310596
28.375386,13,928.869208
34.148022,12,929.433811
36.59501,13,930.03149
36.474551,13,930.614001
19.067141,12,931.1399
18.670618,13,931.755105
38.388634,17,932.516777
51.839974,19,933.678167
-126.018186,41,935.507333
-725.186455,150,942.12765
-0.859887,51,944.413069
-451.398558,131,950.24934
11.962927,53,952.678367
52.137736,16,953.392003
37.953731,15,954.068852
-418.592159,64,956.888873
-521.978586,155,963.740402
55.583292,19,964.624979
60.553979,21,965.552418
60.596624,17,966.293094
49.551069,17,967.032585
51.011043,18,967.854453
41.116049,16,968.602104
61.108315,17,969.341763
47.590992,16,970.043896
41.733689,15,970.707072
-124.399189,87,974.498739
82.052701,19,975.346143
56.335435,18,976.113964
39.012929,14,976.717522
193.264704,27,977.899949
49.422108,17,978.697872
81.055521,19,979.583587
49.386389,17,980.328409
105.243317,18,981.095516
152.632004,24,982.162092
163.927808,27,983.385149
38.325077,16,984.090739
40.989185,14,984.717645
42.80679,16,985.451707
72.646288,17,986.209951
33.027721,14,986.828987
