#{"t_start": 1776966452.5008118, "env_id": "None"}
r,l,t
20.304182,26,2162.711313
22.889381,27,2163.937657
24.364942,30,2165.314756
19.91612,25,2166.444785
28.21297,33,2167.986148
36.235109,40,2169.780166
16.839097,24,2170.866428
106.629625,99,2175.313133
63.011869,63,2178.220926
52.009739,55,2180.7273
77.192225,78,2184.310225
60.399412,63,2187.144832
27.496241,32,2188.592445
35.830718,40,2190.450734
85.755187,85,2194.296062
67.940441,70,2197.492253
15.868571,25,2198.604206
20.178252,26,2199.798284
32.283175,37,2201.47368
28.367962,34,2203.021663
31.861862,36,2204.671486
23.405452,28,2205.953285
30.712464,36,2207.600703
20.527538,28,2208.91151
67.937735,69,2212.009962
59.63094,62,2214.86711
92.8455,90,2219.054143
27.884827,33,2220.545309
24.284484,34,2222.094388
43.498461,46,2224.238958
84.863425,83,2228.062337
93.057392,88,2232.055782
31.419591,35,2233.635942
24.057304,29,2234.947308
30.670905,34,2236.484968
71.231966,71,2239.682518
30.047422,35,2241.268393
38.874723,43,2243.258268
23.959411,29,2244.558298
26.423243,32,2245.980471
37.643894,43,2247.88537
99.489998,94,2252.140746
27.563732,33,2253.627408
24.114735,29,2254.938952
28.224586,34,2256.452139
101.863905,97,2260.862079
31.513522,36,2262.489542
19.253955,25,2263.647226
9.208867,18,2264.477608
81.58166,83,2268.266705
20.685323,27,2269.482702
15.870635,22,2270.497613
35.21479,39,2272.290404
50.048185,51,2274.600139
100.283564,97,2279.032365
34.846828,38,2280.749032
43.889631,50,2283.065872
49.294509,51,2285.368964
28.131356,33,2286.857768
20.767087,27,2288.823281
23.762144,28,2290.098658
104.518254,102,2294.76839
33.706067,38,2296.521889
74.258557,74,2299.906498
94.138641,88,2303.944178
55.395216,57,2306.553691
37.648128,42,2308.464605
29.433485,38,2310.216956
63.384974,66,2313.210708
31.898549,36,2314.874261
28.517851,34,2316.452562
30.97509,34,2318.015363
92.215149,86,2321.957663
27.349677,32,2323.427267
24.061804,29,2324.806102
31.605395,35,2326.393358
53.780581,56,2328.989871
66.512353,67,2332.10724
30.599917,35,2333.754199
24.080488,30,2335.129168
36.359504,42,2337.010241
27.522636,33,2338.561174
101.220138,99,2343.08551
27.633799,32,2344.574804
24.632962,31,2345.977176
36.200153,40,2347.803503
31.467534,35,2349.425732
58.742032,60,2352.190092
78.491381,82,2355.936099
93.199923,89,2360.045078
55.192968,57,2362.650118
23.303693,28,2363.933291
108.639467,103,2368.639405
96.788035,91,2372.773098
36.321501,42,2374.713282
70.254091,70,2377.910326
73.868209,73,2381.20622
36.357628,39,2382.97922
39.009639,43,2384.896815
28.359211,34,2386.460959
20.70607,27,2387.699531
35.477228,39,2389.496833
47.560493,51,2391.865881
57.931728,59,2394.530747
27.787509,32,2395.97157
85.232009,84,2399.770348
99.417522,95,2404.115492
94.978384,89,2408.158469
35.216504,39,2409.938516
31.478951,36,2411.576219
95.521158,89,2415.619081
51.747308,56,2418.190237
27.49866,32,2419.635339
55.222368,57,2422.286119
79.524213,79,2425.858842
93.816428,88,2429.851152
98.750019,96,2434.200035
42.898565,46,2436.276805
94.727889,89,2440.321086
28.496895,34,2441.818406
88.150363,84,2445.653089
89.605292,85,2449.535373
41.101474,44,2451.570644
73.38962,72,2454.867334
26.739471,32,2456.311184
98.230012,92,2460.470631
21.72323,26,2461.652619
